GEO,NAME_LOC,AVG,NIGHTS
"AL","Albania",22.66,484000
"AT11","Burgenland (AT)",-0.12,502969
"AT12","Niederösterreich",1.63,1860235
"AT13","Wien",4.56,11591318
"AT21","Kärnten",-0.49,6248224
"AT22","Steiermark",4.47,3742682
"AT31","Oberösterreich",0.97,2496376
"AT32","Salzburg",2.45,16227936
"AT33","Tirol",1.36,31954518
"AT34","Vorarlberg",1.44,5680698
"BA","Bosnia Herzegovina",15.84,1425761
"BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest",1.26,5209964
"BE21","Prov. Antwerpen",1.46,2168814
"BE22","Prov. Limburg (BE)",-0.8,1781060
"BE23","Prov. Oost-Vlaanderen",5.17,1095377
"BE24","Prov. Vlaams-Brabant",7.98,1102862
"BE25","Prov. West-Vlaanderen",5.49,4094131
"BE31","Prov. Brabant Wallon",3.77,253837
"BE32","Prov. Hainaut",2.99,605622
"BE33","Prov. Liège",8.43,1060128
"BE34","Prov. Luxembourg (BE)",7.28,1081975
"BE35","Prov. Namur",4.99,398317
"BG31","Severozapaden",-1.62,58725
"BG32","Severen tsentralen",-1.17,133315
"BG33","Severoiztochen",-2.33,4871101
"BG34","Yugoiztochen",-0.52,5970698
"BG41","Yugozapaden",7.78,1846131
"BG42","Yuzhen tsentralen",5.36,472311
"CY00","Cyprus",-2.38,12550320
"CZ01","Praha",3.52,14341089
"CZ02","Strední Cechy",0.81,492467
"CZ03","Jihozápad",4.44,1313062
"CZ04","Severozápad",-2.42,3571840
"CZ05","Severovýchod",1.65,1591465
"CZ06","Jihovýchod",1.69,1027898
"CZ07","Strední Morava",1.32,489077
"CZ08","Moravskoslezsko",7.75,459617
"DE11","Stuttgart",7.31,2777408
"DE12","Karlsruhe",3.74,2590174
"DE13","Freiburg",6.22,4284141
"DE14","Tübingen",5.05,1195932
"DE21","Oberbayern",5.48,10828898
"DE22","Niederbayern",1.12,779538
"DE23","Oberpfalz",2.97,634069
"DE24","Oberfranken",4.55,409803
